,topic,url_normal,url_simple
38,himalaya,https://de.wikipedia.org/wiki/Himalaya,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-himalaya-100.html
39,hochschul-prasident,"https://de.wikipedia.org/wiki/Hochschulpr%C3%A4sident, https://de.wikipedia.org/wiki/Hochschule",https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-hochschul-praesident-100.html
40,ic,,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-IC100.html
41,impf-zentrum,"https://de.wikipedia.org/wiki/Impfzentrum#Impfzentren_im_Zuge_der_COVID-19-Pandemie, https://de.wikipedia.org/wiki/Impfung",https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Impf-Zentrum100.html
42,infratest-dimap,https://de.wikipedia.org/wiki/Infratest_dimap,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-infratest-dimap-100.html
43,kampf-hunde-gesetz,https://de.wikipedia.org/wiki/Hundegesetze,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-kampf-hunde-gesetz-100.html
44,ketzerei,https://de.wikipedia.org/wiki/H%C3%A4resie,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-ketzerei-100.html
45,kloster,https://de.wikipedia.org/wiki/Kloster,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-kloster100.html
46,kongress-zentrum,https://de.wikipedia.org/wiki/Kongresszentrum,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Kongress-Zentrum100.html
47,kreistag,https://de.wikipedia.org/wiki/Kreistag ,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-Kreistag-100.html
48,kultus-minister-konferenz,https://de.wikipedia.org/wiki/Kultusministerkonferenz,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-kultus-minister-konferenz-100.html
49,landes-verwaltungs-gericht,https://de.wikipedia.org/wiki/Verwaltungsgericht_(Deutschland),https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-landes-verwaltungs-gericht-100.html
50,losch-fahrzeug,https://de.wikipedia.org/wiki/Feuerwehrfahrzeuge_in_Deutschland#L%C3%B6schfahrzeuge,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-loesch-fahrzeuge100.html
51,marionetten,https://de.wikipedia.org/wiki/Marionette,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-marionetten-100.html
52,mdr-kultur,https://de.wikipedia.org/wiki/MDR_Kultur,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-mdr-kultur-100.html
53,mother-hood,https://de.wikipedia.org/wiki/Mother_Hood,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-mother-hood100.html
54,musik-instrumente,https://de.wikipedia.org/wiki/Musikinstrument,https://www.mdr.de//nachrichten-leicht/woerterbuch/glossar-musik-instrumente-100.html
